"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Bolivia","BOL",144859983,0.979292730238306,2,58,3,3,1,,1,1,0,,,1,2,,2,2,2,,,,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,2,2,4,2,,0,1,4,4,4,4,2,5,1,1,0,0
"Bolivia","BOL",171914035,0.601109762991575,2,30,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,3,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,2,,0,1,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",175144432,0.527406508513814,2,40,3,5,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,1,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",192459298,0.466658596257413,1,50,2,3,1,,1,1,0,2,2,2,,,1,2,2,,,,1,1,2,,1,,,,,,,,,,,,,,2,,,1,1,2,,,,2,2,2,2,2,2,1,,2,3,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,3,1,1,,1,1,4,4,4,4,2,5,1,1,1,0
"Bolivia","BOL",144291511,0.911638817714088,2,60,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,1,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,3,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,4,3,4,,3,,0,0,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",186092988,1.62980918628393,1,18,2,2,1,,1,1,0,1,1,2,,,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,1,1,1,1,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,1,4,4,4,4,4,5,1,1,0,0
"Bolivia","BOL",145992124,0.412694110176113,2,31,2,5,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,1,2,,1,2,2,2,2,1,3,3,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,1,1,2,2,1,,2,,,,,,2,2,1,3,2,1,,1,0,4,2,2,4,2,3,1,1,0,0
"Bolivia","BOL",127269935,1.33794579995027,1,25,2,1,1,,1,1,0,1,2,1,2,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,1,1,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,2,5,1,1,1,1
"Bolivia","BOL",124881050,0.56280561597549,2,28,3,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,1,2,2,1,1,2,2,1,2,,,,2,,,,1,2,2,,,2,1,2,2,2,2,2,,2,2,,,,,1,1,2,2,1,,2,1,2,2,2,2,,1,1,3,4,4,2,3,5,1,1,0,0
"Bolivia","BOL",177099451,0.650624323857288,2,52,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,1,2,2,1,3,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,3,2,1,2,,,,2,,,,1,3,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,0,4,4,4,4,2,5,1,1,0,0
