saved,educ_low,female,age,educ,emp_in,mobileowner
0,1,2,27,2,1,1
1,0,2,33,3,1,1
0,1,1,33,1,1,1
1,1,2,57,2,1,1
1,1,2,19,2,2,1
0,1,1,65,1,2,2
1,1,2,70,2,1,1
0,1,2,59,2,1,1
1,1,2,25,2,1,2
0,1,2,53,2,1,1
1,1,1,57,2,1,1
0,1,1,27,2,1,1
1,1,2,41,2,1,1
0,1,2,33,2,1,1
1,1,2,24,2,1,1
1,0,2,41,3,1,1
1,1,2,28,2,1,1
0,1,1,20,2,1,2
1,0,2,32,3,1,1
1,1,2,21,2,1,1
1,1,1,18,2,1,1
0,1,1,34,1,1,1
0,1,2,17,2,2,1
0,1,1,24,2,1,1
1,1,1,30,2,1,1
1,1,1,68,2,1,1
0,1,2,60,2,2,1
0,1,2,60,2,2,1
1,1,1,43,1,1,1
0,1,1,59,2,2,2
1,1,1,47,2,1,1
1,1,1,21,2,1,1
1,0,1,25,3,2,1
1,1,1,18,2,1,1
1,0,2,38,3,1,1
0,1,1,23,2,1,1
1,1,2,29,2,1,1
0,1,2,62,1,1,1
0,1,1,42,2,1,1
1,0,2,32,3,1,1
0,1,1,65,2,1,1
1,1,2,50,1,1,1
0,1,2,23,2,2,1
0,1,2,74,1,1,1
0,1,1,19,2,1,1
1,1,2,36,2,1,2
0,1,2,45,2,1,1
0,1,1,35,2,1,1
0,1,2,68,1,1,1
0,1,1,42,2,1,1
1,1,2,48,1,1,1
0,1,2,45,1,1,1
0,1,1,21,2,1,1
0,1,1,55,1,1,2
0,1,2,37,2,1,1
0,1,2,29,2,1,1
1,1,2,63,2,1,1
0,1,2,28,2,1,1
1,0,1,52,3,1,1
0,1,1,67,1,1,1
1,0,2,37,3,1,1
0,1,2,62,1,1,1
0,0,2,49,3,1,1
0,1,1,16,2,1,1
1,0,2,31,3,1,1
1,1,2,47,2,1,1
1,1,2,55,2,1,1
0,1,2,27,1,1,1
1,1,1,16,2,2,1
0,1,1,18,2,2,1
0,0,2,82,3,1,1
0,1,2,64,2,2,1
0,1,2,43,2,1,1
0,1,1,62,2,2,1
0,0,1,31,3,1,1
0,1,2,34,2,1,1
1,1,1,21,2,1,1
1,1,2,22,2,1,1
1,1,2,63,2,1,1
1,1,1,21,2,1,1
0,1,1,46,2,1,1
