"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Ecuador","ECU",138904588,0.996256209737985,2,27,2,4,1,,1,1,2,2,2,,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,2,,,,2,,,,,,1,1,1,,,,2,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,1,4,4,4,4,5,1,2,1,0
"Ecuador","ECU",177861541,1.14024385525046,1,20,2,2,1,,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,1,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,1,2,1,,1,0,4,4,4,4,4,5,1,1,0,0
"Ecuador","ECU",208861077,0.633490690176404,1,20,2,4,2,,1,1,,,2,,,,,,,,,,,,,,,2,2,2,1,2,1,1,2,,,,,1,1,,1,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,1,2,1,2,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,2,2,,1,0,4,4,4,4,1,3,1,1,1,1
"Ecuador","ECU",162051459,2.01317669840973,2,37,1,4,1,,1,1,1,1,1,2,,2,2,1,2,,2,1,1,2,,2,,,,,,,,,,,,,,2,,,1,1,2,,,,2,2,,2,1,1,1,,1,2,3,1,1,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,3,2,3,1,3,,1,1,4,4,4,4,4,1,1,1,1,0
"Ecuador","ECU",165852974,0.36471153133259,1,41,2,3,1,,1,1,,,1,2,,2,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,1,2,2,2,2,,,,1,1,2,1,,,2,,,,,,,1,2,2,,2,2,2,,,,,,1,2,2,2,3,2,,0,0,4,3,4,4,1,4,1,1,1,0
"Ecuador","ECU",117762429,1.82583836726417,1,54,1,2,1,,1,1,2,2,1,1,2,1,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,0,4,4,4,4,2,5,1,1,1,0
"Ecuador","ECU",183002833,0.633070875476242,2,57,3,5,1,,1,1,1,2,2,,,2,2,1,1,2,1,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,4,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,1,4,4,4,4,2,5,1,1,1,0
"Ecuador","ECU",184512696,0.872188838524527,2,24,2,4,1,,1,1,1,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,1,2,,,,1,2,,2,2,2,2,,1,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,2,3,1,,1,0,4,4,4,4,2,5,1,1,1,0
"Ecuador","ECU",129411143,0.455818886850549,2,42,2,4,1,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,1,2,,1,2,1,1,2,,2,2,,2,1,1,2,,6,2,2,2,,,,1,1,,,1,1,1,1,,,1,2,2,,1,,,2,2,,,,,2,,,,,,3,1,2,3,2,2,,1,1,2,4,4,4,1,1,1,1,1,1
"Ecuador","ECU",182151501,1.37876464122915,1,22,2,1,2,,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,2,1,2,2,,,,1,2,2,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,1,2,1,,0,0,4,4,4,4,4,4,1,1,0,0
"Ecuador","ECU",206439608,0.891438230511822,1,23,3,5,1,,1,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,,,,,1,2,,1,1,1,2,2,,2,1,,2,2,2,2,,2,1,1,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,2,2,,1,0,4,4,4,4,1,5,1,1,1,1
"Ecuador","ECU",113743580,0.609184942378633,2,60,2,4,1,,1,1,1,1,1,1,1,2,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,2,,2,1,1,2,,4,3,2,2,,,,1,2,2,2,1,1,2,1,,,1,1,1,,,,2,2,2,,,,,2,,,,,,1,1,2,2,1,1,,0,1,1,4,4,4,1,4,1,1,1,1
