"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Peru","PER",156303514,1.17604411602833,1,38,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Peru","PER",179869591,1.07881097846503,2,32,2,3,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,2,,4,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,1,4,1,,0,1,4,4,4,4,2,5,1,2,0,0
"Peru","PER",203182966,1.07924476724308,1,57,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,1,2,3,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,1,4,4,4,4,3,5,1,1,0,0
"Peru","PER",191863740,0.364521328673782,1,41,2,5,1,2,1,1,0,1,2,1,2,,2,2,1,2,,1,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,2,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,0,4,4,4,4,2,5,1,1,0,0
"Peru","PER",190296369,1.56778085512915,1,22,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,2,3,,0,1,4,4,4,4,4,5,1,1,0,0
"Peru","PER",181990959,0.939432576980065,2,27,2,4,1,2,1,1,0,,,1,2,,1,1,1,1,2,2,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,4,4,4,4,4,5,1,2,1,0
"Peru","PER",149234514,1.08290576047765,1,59,2,3,2,2,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,,,,,1,1,,2,1,2,,,,1,2,,2,2,2,1,,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,4,1,,1,1,4,4,4,4,1,4,2,2,1,1
"Peru","PER",181556437,1.87170972883879,2,40,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,2,2,2,2,2,2,2,,2,2,2,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,1,3,1,,1,0,4,4,4,4,4,1,1,1,1,1
"Peru","PER",179496928,1.23462152695088,1,17,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,2,2,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Peru","PER",175810554,1.76016816802154,2,21,2,2,1,2,1,1,0,,,2,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,,,,,2,,,2,1,2,,,,2,2,,2,1,1,2,,4,1,1,1,1,,,1,1,,,1,1,2,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,1,4,4,4,4,1,1,1,1,1,0
