Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.6533333333333333,0.4583333333333333,0.00011080332409972368,0.006306306306306353,241.01432368675273,0,5.0
0.64,0.4072014051522248,0.00025278210603262567,0.0015920398009950931,243.32095745271675,1,5.0
0.6533333333333333,0.4583333333333333,0.00011080332409972368,0.010144927536231862,246.13936667236962,2,5.0
0.6466666666666666,0.46755073337351816,0.00033933518005540376,0.0323809523809524,248.65812758940203,3,5.0
0.66,0.4619874815387861,0.0,0.0036363636363636598,240.72987442027596,4,5.0
0.6666666666666666,0.47916666666666663,0.00023178110618014638,0.024516129032258083,237.79840457966634,5,5.0
0.6533333333333333,0.4583333333333333,0.0001488633501980253,0.03913043478260869,242.84201229743127,6,5.0
0.64,0.4510707508809976,0.0028698979591836767,0.04960784313725486,248.6678647628915,7,5.0
0.64,0.4375,0.0001277621378451777,0.026111111111111196,238.67331989809398,8,5.0
0.6533333333333333,0.47140146381133097,5.015994753272905e-08,0.01963963963963966,238.55784328548745,9,5.0
