Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.4666666666666667,0.43778110944527737,0.00035599857600569583,0.1266666666666667,245.4326004684708,0,5.0
0.48,0.4518365817091454,0.00034293552812071225,0.1333333333333333,243.6843588818925,1,5.0
0.4666666666666667,0.43406904357668363,0.0,0.11333333333333329,231.96152158392306,2,5.0
0.42,0.3731687400931841,0.00035599857600569583,0.07999999999999996,243.7741674633691,3,5.0
0.44666666666666666,0.4108182291420188,0.00035599857600569583,0.10666666666666669,250.53369257164246,4,5.0
0.47333333333333333,0.439212531352042,0.0,0.11333333333333329,243.48998206454007,5,5.0
0.4533333333333333,0.41584346504559266,0.0,0.09999999999999998,248.14969058015026,6,5.0
0.4266666666666667,0.37789351851851855,0.00034293552812071225,0.07999999999999996,249.21952617849087,7,5.0
0.44,0.3923611111111111,0.0,0.07999999999999996,243.55749411596327,8,5.0
0.48,0.4612267452569534,0.0032039871840512622,0.16666666666666663,244.85851511807275,9,5.0
